lat,lon,km_to_nearest_access_point,nearest_access_point_id
-30.655,28.035,41.7,90
-30.61,27.765,23.1,91
-30.61,27.81,24.5,91
-30.61,27.855,26.6,90
-30.61,27.945,32.0,90
-30.61,27.99,35.2,90
-30.61,28.035,38.6,90
-30.61,28.08,42.2,90
-30.565,27.72,17.5,91
-30.565,27.765,18.3,91
-30.565,27.81,20.1,90
-30.565,27.855,22.5,90
-30.565,27.9,25.4,90
-30.565,27.945,28.7,90
-30.565,27.99,32.2,90
-30.565,28.035,35.9,90
-30.565,28.08,38.1,55
-30.565,28.125,40.5,55
-30.52,27.675,12.8,91
-30.52,27.72,12.5,91
-30.52,27.765,13.6,90
-30.52,27.81,15.9,90
-30.52,27.855,18.9,90
-30.52,27.9,22.3,90
-30.52,27.945,26.0,90
-30.52,27.99,29.7,55
-30.52,28.035,31.6,55
-30.52,28.08,33.9,55
-30.52,28.125,36.2,56
-30.52,28.17,36.3,56
-30.475,27.63,10.5,91
-30.475,27.675,8.1,91
-30.475,27.72,7.6,91
-30.475,27.765,9.3,90
-30.475,27.81,12.3,90
-30.475,27.855,16.0,90
-30.475,27.9,19.9,90
-30.475,27.945,23.6,55
-30.475,27.99,25.2,55
-30.475,28.035,27.3,55
-30.475,28.08,30.0,55
-30.475,28.125,31.2,56
-30.43,27.585,12.0,91
-30.43,27.63,7.8,91
-30.43,27.675,3.9,91
-30.43,27.72,2.8,90
-30.43,27.765,6.0,90
-30.43,27.81,10.1,90
-30.43,27.855,14.4,90
-30.43,27.9,17.8,55
-30.43,27.945,18.8,55
-30.43,27.99,20.8,55
-30.43,28.035,23.3,55
-30.43,28.08,26.4,55
-30.43,28.125,26.2,56
-30.43,28.17,26.3,56
-30.43,28.215,27.1,56
-30.385,27.54,16.2,91
-30.385,27.585,12.0,91
-30.385,27.63,7.8,91
-30.385,27.675,4.0,91
-30.385,27.72,2.8,90
-30.385,27.765,6.1,90
-30.385,27.81,10.1,90
-30.385,27.855,12.8,55
-30.385,27.9,12.8,55
-30.385,27.945,14.3,55
-30.385,27.99,16.7,55
-30.385,28.035,19.8,55
-30.385,28.08,22.0,56
-30.385,28.125,21.2,56
-30.385,28.17,21.3,56
-30.385,28.215,22.3,56
-30.385,28.26,24.0,56
-30.34,27.495,21.0,93
-30.34,27.54,17.7,91
-30.34,27.585,13.9,91
-30.34,27.63,10.6,91
-30.34,27.675,8.1,90
-30.34,27.72,7.6,90
-30.34,27.765,9.3,90
-30.34,27.81,9.9,55
-30.34,27.855,7.9,55
-30.34,27.9,8.0,55
-30.34,27.945,10.1,55
-30.34,27.99,13.4,55
-30.34,28.035,17.1,55
-30.34,28.08,17.2,56
-30.34,28.125,16.2,56
-30.34,28.17,16.4,56
-30.34,28.215,17.6,56
-30.295,27.405,17.4,93
-30.295,27.45,16.2,93
-30.295,27.495,16.1,93
-30.295,27.54,17.1,93
-30.295,27.585,17.2,91
-30.295,27.63,14.6,91
-30.295,27.675,12.9,90
-30.295,27.72,12.6,90
-30.295,27.765,10.9,55
-30.295,27.81,6.8,55
-30.295,27.855,3.3,55
-30.295,27.9,3.5,55
-30.295,27.945,7.2,55
-30.295,27.99,11.3,55
-30.295,28.035,15.2,56
-30.295,28.08,12.7,56
-30.295,28.125,11.3,56
-30.295,28.17,11.5,56
-30.25,27.405,13.0,93
-30.25,27.45,11.3,93
-30.25,27.495,11.1,93
-30.25,27.54,12.5,93
-30.25,27.585,15.1,93
-30.25,27.63,18.4,93
-30.25,27.675,17.8,90
-30.25,27.72,15.1,55
-30.25,27.765,10.9,55
-30.25,27.81,6.7,55
-30.25,27.855,3.1,55
-30.25,27.9,3.4,55
-30.25,27.945,7.1,55
-30.25,27.99,11.3,55
-30.25,28.035,12.0,56
-30.25,28.08,8.6,56
-30.25,28.125,6.4,56
-30.25,28.17,6.7,56
-30.25,28.215,9.3,56
-30.25,28.26,12.8,56
-30.25,28.305,16.8,56
-30.205,27.405,9.1,93
-30.205,27.45,6.5,93
-30.205,27.495,6.2,93
-30.205,27.54,8.5,93
-30.205,27.585,12.0,93
-30.205,27.63,15.9,93
-30.205,27.675,20.0,93
-30.205,27.72,16.7,55
-30.205,27.765,12.9,55
-30.205,27.81,9.7,55
-30.205,27.855,7.7,55
-30.205,27.9,7.8,55
-30.205,27.945,10.0,55
-30.205,27.99,13.3,55
-30.205,28.035,10.4,56
-30.205,28.08,6.1,56
-30.205,28.125,2.0,56
-30.205,28.17,2.9,56
-30.205,28.215,7.0,56
-30.205,28.26,11.3,56
-30.205,28.305,15.6,56
-30.16,27.405,7.0,93
-30.16,27.45,2.8,93
-30.16,27.495,2.0,93
-30.16,27.54,6.1,93
-30.16,27.585,10.4,93
-30.16,27.63,14.8,93
-30.16,27.675,19.1,93
-30.16,27.72,19.4,55
-30.16,27.765,16.3,55
-30.16,27.81,13.9,55
-30.16,27.855,12.6,55
-30.16,27.9,12.6,55
-30.16,27.945,14.1,55
-30.16,27.99,15.2,56
-30.16,28.035,11.0,56
-30.16,28.08,7.2,56
-30.16,28.125,4.2,56
-30.16,28.17,4.7,56
-30.16,28.215,8.0,56
-30.16,28.26,11.9,56
-30.16,28.305,16.1,56
-30.16,28.35,20.3,56
-30.115,27.36,11.9,93
-30.115,27.405,8.0,93
-30.115,27.45,4.8,93
-30.115,27.495,4.4,93
-30.115,27.54,7.3,93
-30.115,27.585,11.2,93
-30.115,27.63,15.3,93
-30.115,27.675,19.5,93
-30.115,27.72,22.9,55
-30.115,27.765,20.4,55
-30.115,27.81,18.5,55
-30.115,27.855,17.5,55
-30.115,27.9,17.6,55
-30.115,27.945,18.6,55
-30.115,27.99,17.2,56
-30.115,28.035,13.6,56
-30.115,28.08,10.7,56
-30.115,28.125,9.0,56
-30.115,28.17,9.3,56
-30.115,28.215,11.3,56
-30.115,28.26,14.3,56
-30.115,28.305,18.0,56
-30.115,28.35,21.8,56
-30.115,28.395,25.8,56
-30.115,28.44,23.2,87
-30.115,28.485,18.9,87
-30.115,28.53,14.5,87
-30.115,28.575,10.2,87
-30.115,28.62,5.9,87
-30.115,28.665,1.6,87
-30.115,28.71,2.3,69
-30.07,27.315,18.0,93
-30.07,27.36,14.4,93
-30.07,27.405,11.4,93
-30.07,27.45,9.4,93
-30.07,27.495,9.2,93
-30.07,27.54,10.9,93
-30.07,27.585,13.8,93
-30.07,27.63,17.3,93
-30.07,27.675,21.1,93
-30.07,27.72,25.1,93
-30.07,27.765,24.8,55
-30.07,27.81,23.3,55
-30.07,27.855,22.5,55
-30.07,27.9,22.5,55
-30.07,27.945,23.4,55
-30.07,27.99,20.2,56
-30.07,28.035,17.3,56
-30.07,28.08,15.1,56
-30.07,28.125,14.0,56
-30.07,28.17,14.1,56
-30.07,28.215,15.5,56
-30.07,28.26,17.9,56
-30.07,28.305,20.9,56
-30.07,28.35,24.3,56
-30.07,28.395,28.0,56
-30.07,28.44,23.7,87
-30.07,28.485,19.5,87
-30.07,28.53,15.4,87
-30.07,28.575,11.3,87
-30.07,28.62,7.7,87
-30.07,28.665,5.2,87
-30.07,28.71,5.7,87
-30.07,28.755,8.6,84
-30.07,28.8,12.2,84
-30.07,28.845,16.2,69
-30.025,27.27,22.5,78
-30.025,27.315,21.0,93
-30.025,27.36,18.0,93
-30.025,27.405,15.7,93
-30.025,27.45,14.3,93
-30.025,27.495,14.2,93
-30.025,27.54,15.3,93
-30.025,27.585,17.5,93
-30.025,27.63,20.4,93
-30.025,27.675,23.7,93
-30.025,27.72,27.3,93
-30.025,27.765,29.4,55
-30.025,27.81,28.1,55
-30.025,27.855,27.5,55
