id,lat,lon,kind,name,operator
0,-29.3146227,27.4937745,atm,,Standard Lesotho Bank Limited
1,-29.313447,27.481323,bank,Standard Lesotho Bank,Standard Lesotho Bank Limited
2,-29.3145208,27.4846883,atm,Nedbank,Nedbank Lesotho Limited
3,-29.2984307,27.4719841,bank,Standard Lesotho Bank,Standard Lesotho Bank Limited
4,-29.3133178,27.4794433,bank,FNB Lesotho,First National Bank of Lesotho Limited
5,-29.314496,27.4751481,bank,Standard Lesotho Bank,Standard Lesotho Bank Limited
6,-29.2995486,27.4571748,bank,Standard Lesotho Bank,Standard Lesotho Bank Limited
7,-29.1498804,27.7420325,bank,Standard Lesotho Bank,Standard Lesotho Bank Limited
8,-29.4037225,27.5608982,atm,Standard Lesotho Bank,Standard Lesotho Bank Limited
9,-29.0009946,28.2088348,atm,,Standard Lesotho Bank Limited
10,-29.3057919,27.515477,atm,,Standard Lesotho Bank;First National Bank of Lesotho Limited
11,-28.8886019,27.9066173,atm,,Standard Lesotho Bank Limited
12,-29.1523883,27.7433288,bank,FNB Lesotho,First National Bank of Lesotho Limited
13,-29.1496854,27.7467539,atm,,Standard Lesotho Bank Limited
14,-29.1482662,27.7482627,bureau_de_change,GBets,
15,-29.3678475,27.514819,atm,,Standard Lesotho Bank Limited
16,-29.3145534,27.4868982,bank,FNB Lesotho,First National Bank of Lesotho Limited
17,-29.3162259,27.4958122,bank,Standard Lesotho Bank,Standard Lesotho Bank Limited
18,-29.3161998,27.495719,atm,,Standard Lesotho Bank Limited
19,-29.3575305,27.4602189,atm,,Standard Lesotho Bank Limited
20,-29.8217635,27.2442179,atm,FNB Lesotho,First National Bank of Lesotho Limited
21,-29.8412423,28.0529654,atm,Standard Lesotho Bank,Standard Lesotho Bank Limited
22,-29.3150568,27.4994933,atm,,Standard Lesotho Bank Limited
23,-29.3158879,27.4892808,bank,Boliba Savings and Credit,
24,-29.3186915,27.4953341,bank,Boliba Savings and Credit,Cooperative
25,-29.3145366,27.4936147,atm,Nedbank,Nedbank Lesotho Limited
26,-29.3387869,27.4618431,atm,,Standard Lesotho Bank Limited
27,-29.3387453,27.4618113,bank,Standard Lesotho Bank,Standard Lesotho Bank Limited
28,-29.3123753,27.4955186,atm,,Standard Lesotho Bank Limited
29,-29.3124236,27.495356,atm,Nedbank,Nedbank Lesotho Limited
30,-29.3123751,27.4953547,atm,FNB Lesotho,First National Bank of Lesotho Limited
31,-29.3155817,27.4902773,atm,Nedbank,Nedbank
